Location,MAC Address,Avg signal strength,"standard deviation, if applicable",sample size
233,f4:1f:c2:71:c4:be,-79.02941,1.7232882,34
233,f4:1f:c2:71:c4:bf,-78.7619,2.2233562,21
233,f4:1f:c2:71:da:20,-80.46667,3.2836294,15
233,f4:1f:c2:71:da:21,-77,0,4
233,f4:1f:c2:71:da:22,-83,4.2426405,12
233,f4:1f:c2:71:da:23,-80.125,1.2686114,8
233,f4:1f:c2:71:da:24,-82.46154,3.7542872,13
233,f4:1f:c2:71:da:25,-82.61539,0.48650426,13
233,f4:1f:c2:71:da:26,-78,0,4
233,f4:1f:c2:71:da:27,-76,0,1
233,f4:1f:c2:71:da:28,-81.23529,3.5567565,17
233,f4:1f:c2:71:da:29,-85,0,8
233,f4:1f:c2:71:da:2a,-79,0,4
233,f4:1f:c2:71:da:2c,-77,0,1
233,f4:1f:c2:71:da:2d,-81,0,7
233,f4:1f:c2:71:da:2e,-80,1.5811388,8
233,f4:1f:c2:71:da:2f,-82,4.8989797,11
237,02:28:b8:ef:73:ee,-79.53061,2.540304,49
237,02:c0:61:9d:a7:f4,-87,0,6
237,0c:27:24:50:64:e1,-87,0,6
237,0c:27:24:51:57:50,-68.59574,3.285426,47
237,0c:27:24:51:57:51,-67,2.4152296,24
237,0c:27:24:51:57:52,-67.933334,3.1650882,45
237,0c:27:24:51:57:53,-71.53333,2.0450485,30
237,0c:27:24:51:57:54,-68.244446,3.6341317,45
237,0c:27:24:51:57:5b,-86.37778,2.5844748,45
237,0c:27:24:51:57:5c,-85.25,4.007805,16
237,0c:27:24:51:57:5d,-85.458336,3.9684086,48
237,0c:27:24:51:57:5e,-84.791664,4.663503,24
237,0c:27:24:51:57:5f,-85.77551,3.0119839,49
237,0c:27:24:69:cd:20,-85,2,10
237,0c:27:24:69:cd:21,-80,0,5
237,0c:27:24:69:cd:22,-84.75,0.6614378,8
237,0c:27:24:69:cd:23,-84.6,1.4966627,15
237,0c:27:24:69:cd:24,-82.72727,1.6006198,11
237,0c:27:24:8e:6b:40,-73.478264,5.0378532,23
237,0c:27:24:8e:6b:41,-72.8125,2.083229,32
237,0c:27:24:8e:6b:42,-74.85,2.971111,20
237,0c:27:24:8e:6b:43,-74.42308,2.8846154,26
237,0c:27:24:8e:6b:44,-73.521736,2.8417618,23
237,0c:27:24:8e:6b:4b,-86.04762,4.076368,21
237,0c:27:24:8e:6b:4c,-86.08572,3.2808664,35
237,0c:27:24:8e:6b:4d,-85.4375,5.243672,16
237,0c:27:24:8e:6b:4e,-83.47059,3.3627312,34
237,0c:27:24:8e:6b:4f,-85.8,3.555278,25
237,0c:27:24:8e:6f:c1,-80.948715,2.5109878,39
237,0c:27:24:8e:6f:c2,-81.03704,2.6733458,27
237,0c:27:24:8e:6f:c3,-81.3,1.1,10
237,0c:27:24:8e:6f:c4,-81,0,7
237,0c:27:24:8e:6f:cb,-86.22222,1.7497799,36
237,0c:27:24:8e:6f:cc,-85.91428,2.5113626,35
237,0c:27:24:8e:6f:cd,-85.31373,2.0909715,51
237,0c:27:24:8e:6f:ce,-83.71795,2.7264023,39
237,0c:27:24:8e:6f:cf,-83.875,2.5341418,32
237,0c:27:24:8e:8b:10,-82.333336,3.1972213,21
237,0c:27:24:8e:8b:11,-82.70588,3.063345,17
237,0c:27:24:8e:8b:12,-82.875,1.4523687,8
237,0c:27:24:8e:8b:13,-82.703705,1.9591159,27
237,0c:27:24:8e:8b:14,-81.545456,2.7423825,11
237,0c:27:24:8e:8f:21,-87,0,5
237,0c:27:24:8e:8f:23,-85,0,5
237,0c:27:24:8e:8f:5c,-89,0,3
237,0c:27:24:8e:8f:5d,-89,0,1
237,0c:27:24:8e:8f:5e,-87,0,3
237,0c:27:24:8e:96:50,-84,0,5
